"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2005","1,181.30","1,211.90","1,217.90","1,163.80","","-2.52%"
"12/01/2004","1,211.90","1,173.80","1,217.30","1,173.80","","3.25%"
"11/01/2004","1,173.80","1,130.20","1,188.50","1,127.50","","3.86%"
"10/01/2004","1,130.20","1,114.60","1,142.00","1,090.20","","1.40%"
"09/01/2004","1,114.60","1,104.20","1,131.50","1,099.10","","0.94%"
"08/01/2004","1,104.20","1,101.70","1,109.70","1,060.70","","0.23%"
"07/01/2004","1,101.70","1,140.80","1,140.80","1,078.80","","-3.43%"
"06/01/2004","1,140.80","1,120.70","1,146.30","1,113.30","","1.79%"
"05/01/2004","1,120.70","1,107.30","1,127.70","1,076.30","","1.21%"
"04/01/2004","1,107.30","1,126.20","1,150.60","1,107.20","","-1.68%"
"03/01/2004","1,126.20","1,144.90","1,163.20","1,087.10","","-1.63%"
"02/01/2004","1,144.90","1,131.10","1,159.00","1,124.40","","1.22%"
"01/01/2004","1,131.10","1,111.90","1,155.40","1,105.10","","1.73%"
"12/01/2003","1,111.90","1,058.20","1,112.60","1,053.40","","5.07%"
"11/01/2003","1,058.20","1,050.70","1,063.70","1,031.20","","0.71%"
"10/01/2003","1,050.70","996.00","1,053.80","996.00","","5.49%"
"09/01/2003","996.00","1,008.00","1,040.30","990.40","","-1.19%"
"08/01/2003","1,008.00","990.30","1,011.00","960.80","","1.79%"
"07/01/2003","990.30","974.50","1,015.40","962.10","","1.62%"
"06/01/2003","974.50","963.60","1,015.30","963.60","","1.13%"
"05/01/2003","963.60","916.90","965.40","902.80","","5.09%"
"04/01/2003","916.90","848.20","924.20","847.90","","8.10%"
"03/01/2003","848.20","841.10","895.90","788.90","","0.84%"
"02/01/2003","841.10","855.70","864.60","806.30","","-1.71%"
"01/01/2003","855.70","879.80","935.00","840.30","","-2.74%"
"12/01/2002","879.80","936.30","954.30","869.50","","-6.03%"
"11/01/2002","936.30","885.80","941.80","872.00","","5.70%"
"10/01/2002","885.80","815.30","907.40","768.60","","8.65%"
"09/01/2002","815.30","916.10","924.00","800.20","","-11.00%"
"08/01/2002","916.10","911.60","965.00","833.40","","0.49%"
"07/01/2002","911.60","989.80","994.50","775.70","","-7.90%"
"06/01/2002","989.80","1,067.10","1,070.70","952.90","","-7.24%"
"05/01/2002","1,067.10","1,076.90","1,106.60","1,049.00","","-0.91%"
"04/01/2002","1,076.90","1,146.00","1,147.80","1,063.50","","-6.14%"
"03/01/2002","1,147.40","1,108.70","1,173.90","1,108.70","","3.68%"
"02/01/2002","1,106.70","1,127.40","1,130.20","1,074.40","","-2.08%"
