"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1981","129.60","135.70","140.30","128.60","","-4.57%"
"12/01/1980","135.80","139.60","140.70","125.30","","-3.35%"
"11/01/1980","140.50","128.00","142.00","127.20","","10.20%"
"10/01/1980","127.50","125.70","135.90","124.30","","1.59%"
"09/01/1980","125.50","122.40","132.20","121.80","","2.53%"
"08/01/1980","122.40","121.40","127.80","119.40","","0.58%"
"07/01/1980","121.70","114.10","123.90","113.50","","6.57%"
"06/01/1980","114.20","110.90","118.00","109.80","","2.70%"
"05/01/1980","111.20","107.90","112.70","103.50","","4.61%"
"04/01/1980","106.30","106.30","106.80","98.90","","4.11%"
"03/01/1980","102.10","102.10","114.30","94.20","","-10.20%"
"02/01/1980","113.70","115.40","120.20","111.30","","-0.44%"
"01/01/1980","114.20","107.90","117.20","103.30","","5.84%"
"12/01/1979","107.90","107.90","110.30","105.10","","1.60%"
"11/01/1979","106.20","106.20","107.90","99.40","","4.32%"
"10/01/1979","101.80","101.80","112.20","99.10","","-6.86%"
"09/01/1979","109.30","109.10","111.60","105.40","","0.00%"
"08/01/1979","109.30","103.80","109.80","103.10","","5.30%"
"07/01/1979","103.80","102.60","105.20","100.30","","0.87%"
"06/01/1979","102.90","99.10","103.70","98.60","","3.83%"
"05/01/1979","99.10","101.80","102.60","97.50","","-2.65%"
"04/01/1979","101.80","101.10","103.90","100.10","","0.20%"
"03/01/1979","101.60","96.40","103.30","96.00","","5.50%"
"02/01/1979","96.30","99.50","100.50","95.40","","-3.60%"
"01/01/1979","99.90","95.80","102.60","95.20","","3.95%"
"12/01/1978","96.10","95.60","98.60","92.60","","1.48%"
"11/01/1978","94.70","94.60","97.40","91.80","","1.61%"
"10/01/1978","93.20","102.30","106.20","91.70","","-9.07%"
"09/01/1978","102.50","103.20","108.10","100.70","","-0.77%"
"08/01/1978","103.30","100.90","106.30","99.90","","2.58%"
"07/01/1978","100.70","95.20","101.20","93.60","","5.45%"
"06/01/1978","95.50","97.30","101.80","94.00","","-1.75%"
"05/01/1978","97.20","96.90","100.30","94.60","","0.41%"
"04/01/1978","96.80","88.80","97.90","88.10","","8.52%"
"03/01/1978","89.20","86.70","91.30","86.40","","2.53%"
"02/01/1978","87.00","89.30","91.30","86.60","","-2.47%"
