"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2013","1,498.10","1,426.20","1,509.90","1,426.20","","5.04%"
"12/01/2012","1,426.20","1,416.30","1,448.00","1,398.10","","0.71%"
"11/01/2012","1,416.20","1,412.20","1,434.30","1,343.30","","0.28%"
"10/01/2012","1,412.20","1,440.90","1,471.00","1,403.30","","-1.98%"
"09/01/2012","1,440.70","1,406.50","1,474.50","1,396.60","","2.42%"
"08/01/2012","1,406.60","1,379.30","1,426.70","1,354.70","","1.98%"
"07/01/2012","1,379.30","1,362.30","1,391.70","1,325.40","","1.26%"
"06/01/2012","1,362.20","1,309.90","1,363.50","1,266.70","","3.96%"
"05/01/2012","1,310.30","1,397.90","1,415.30","1,292.00","","-6.27%"
"04/01/2012","1,397.90","1,408.50","1,422.40","1,357.40","","-0.75%"
"03/01/2012","1,408.50","1,365.90","1,419.20","1,340.00","","3.13%"
"02/01/2012","1,365.70","1,312.50","1,378.00","1,312.50","","4.06%"
"01/01/2012","1,312.40","1,258.90","1,333.50","1,258.90","","4.36%"
"12/01/2011","1,257.60","1,246.90","1,269.40","1,202.40","","0.85%"
"11/01/2011","1,247.00","1,251.00","1,277.50","1,158.70","","-0.50%"
"10/01/2011","1,253.30","1,131.20","1,292.70","1,074.80","","10.77%"
"09/01/2011","1,131.40","1,219.10","1,229.30","1,114.20","","-7.18%"
"08/01/2011","1,218.90","1,292.60","1,307.40","1,101.50","","-5.68%"
"07/01/2011","1,292.30","1,320.60","1,356.50","1,282.90","","-2.14%"
"06/01/2011","1,320.60","1,345.20","1,345.20","1,258.10","","-1.83%"
"05/01/2011","1,345.20","1,365.20","1,370.60","1,311.80","","-1.35%"
"04/01/2011","1,363.60","1,329.50","1,364.60","1,294.70","","2.85%"
"03/01/2011","1,325.80","1,328.60","1,332.30","1,249.00","","-0.11%"
"02/01/2011","1,327.20","1,289.10","1,344.10","1,289.10","","3.20%"
"01/01/2011","1,286.10","1,257.60","1,302.70","1,257.60","","2.27%"
"12/01/2010","1,257.60","1,186.60","1,262.60","1,186.60","","6.53%"
"11/01/2010","1,180.50","1,185.70","1,227.10","1,173.00","","-0.24%"
"10/01/2010","1,183.30","1,143.50","1,196.10","1,131.90","","3.69%"
"09/01/2010","1,141.20","1,049.70","1,157.20","1,049.70","","8.76%"
"08/01/2010","1,049.30","1,107.50","1,129.20","1,039.70","","-4.75%"
"07/01/2010","1,101.60","1,031.10","1,121.00","1,010.90","","6.88%"
"06/01/2010","1,030.70","1,087.30","1,131.20","1,028.30","","-5.39%"
"05/01/2010","1,089.40","1,188.60","1,205.10","1,040.80","","-8.20%"
"04/01/2010","1,186.70","1,171.20","1,219.80","1,170.70","","1.48%"
"03/01/2010","1,169.40","1,105.40","1,180.70","1,105.40","","5.88%"
"02/01/2010","1,104.50","1,073.90","1,112.40","1,044.50","","2.85%"
