Date,Rating,Change
01/2013,54,4
12/2012,50,-1
11/2012,51,-1
10/2012,52,2
09/2012,50,5
08/2012,45,0
07/2012,45,-2
06/2012,47,0
05/2012,47,0
04/2012,47,-1
03/2012,48,1
02/2012,47,1
01/2012,46,3
12/2011,43,0
11/2011,43,3
10/2011,40,-3
09/2011,43,1
08/2011,42,-4
07/2011,46,0
06/2011,46,-5
05/2011,51,6
04/2011,45,-2
03/2011,47,-1
02/2011,48,0
01/2011,48,3
12/2010,45,0
11/2010,45,-1
10/2010,46,0
09/2010,46,1
08/2010,45,-1
07/2010,46,0
06/2010,46,-4
05/2010,50,3
04/2010,47,-2
03/2010,49,-1
02/2010,50,-1
01/2010,51,-2
,,
01/2005,52,-1
12/2004,53,0
11/2004,53,3
10/2004,50,-2
09/2004,52,1
08/2004,51,4
07/2004,47,-2
06/2004,49,0
05/2004,49,-3
04/2004,52,3
03/2004,49,-3
02/2004,52,-8
01/2004,60,5
12/2003,55,1
11/2003,54,-1
10/2003,55,3
09/2003,52,-8
08/2003,60,-2
07/2003,62,0
06/2003,62,-7
05/2003,69,-1
04/2003,70,13
03/2003,57,-2
02/2003,59,-4
01/2003,63,-1
12/2002,64,-4
11/2002,68,1
10/2002,67,1
09/2002,66,-2
08/2002,68,-8
07/2002,76,6
06/2002,70,-6
05/2002,76,0
04/2002,76,-5
03/2002,81,-1
02/2002,82,-2
01/2002,84,-3
,,
01/1997,58,0
12/1996,58,0
11/1996,58,0
10/1996,58,-2
09/1996,60,3
08/1996,57,0
07/1996,57,-1
06/1996,58,3
05/1996,55,1
04/1996,54,0
03/1996,54,1
02/1996,53,11
01/1996,42,-9
12/1995,51,-1
11/1995,52,6
10/1995,46,2
09/1995,44,-2
08/1995,46,-2
07/1995,48,1
06/1995,47,-4
05/1995,51,4
04/1995,47,1
03/1995,46,-3
02/1995,49,2
01/1995,47,5
12/1994,42,-4
11/1994,46,4
10/1994,42,3
09/1994,39,-4
08/1994,43,0
07/1994,43,-3
06/1994,46,-5
05/1994,51,0
04/1994,51,1
03/1994,50,-3
02/1994,53,-1
01/1994,54,-2
,,
01/1993,56,7
12/1992,49,6
11/1992,43,10
10/1992,33,-6
09/1992,39,4
08/1992,35,3
07/1992,32,-5
06/1992,37,-3
05/1992,40,1
04/1992,39,-2
03/1992,41,-3
02/1992,44,-2
01/1992,46,-6
12/1991,52,-4
11/1991,56,-9
10/1991,65,-5
09/1991,70,-1
08/1991,71,-1
07/1991,72,1
06/1991,71,-3
05/1991,74,-9
04/1991,83,-4
03/1991,87,8
02/1991,79,21
01/1991,58,0
12/1990,58,0
11/1990,58,-8
10/1990,66,-10
09/1990,76,2
08/1990,74,11
07/1990,63,-4
06/1990,67,2
05/1990,65,-3
04/1990,68,-6
03/1990,74,1
02/1990,73,-7
01/1990,80,9
,,
12/1980,34,3
11/1980,31,0
10/1980,31,-6
09/1980,37,5
08/1980,32,-1
07/1980,33,1
06/1980,32,-11
05/1980,43,4
04/1980,39,-4
03/1980,43,-12
02/1980,55,-1
01/1980,56,2
12/1979,54,22
11/1979,32,3
10/1979,29,-1
09/1979,30,-2
08/1979,32,3
07/1979,29,0
06/1979,29,-8
05/1979,37,-3
04/1979,40,1
03/1979,39,-3
02/1979,42,-8
01/1979,50,-1
12/1978,51,-1
11/1978,52,3
10/1978,49,7
09/1978,42,3
08/1978,39,-1
07/1978,40,-4
06/1978,44,3
05/1978,41,1
04/1978,40,-9
03/1978,49,2
02/1978,47,-8
01/1978,55,-2
